Titre,Nombre de Jours  de Tournages,Produit Par,Réalisé par,Principaux Interprètes
PLUS BELLE LA VIE (261 épisodes),432,FRANCE TELEVISIONS,Roger Wielgus,"Michel Cordes, Laurent Kerusoré, Sulvie Fleep, Serge Dupire, Leatitia Mielot"
CAIN Saison 4 (10 épisodes ),86,DEMD PRODUCTION,Bertrand Arthuys,"Bruno DELBRANDT, Julie Delarme"
BRAQUO Saison 4 (4 épisodes),5,CAPA DRAMA,Olivier Marchal,"Jean-Hugues ANGLADE, Ludmila Mikaël"
LA STAGIAIRE (6 épisodes),18,GAZELLE ET COMPAGNIE,Chistophe Campos,"Michelle Bernié,  Arié Almaleh"
LA TUEUSE CAMELEON,22,FRANCE TELEVISIONS,José Dayan,Julie Depardieu Catherine Frost
LE CRIME DE CESAR,14,FRANCE TELEVISIONS,Philomène Esposito,Vincent Lanoux
LE SOLITAIRE,29,FRANCE TELEVISIONS,Jean Nainchrik,Philippe Caroit
LES ANNEES PERDUES,34,FRANCE TELEVISIONS,Nicolas Picard Dreyfuss,Sarah Adler Anne Alvaros
LES DISPARUS DU LAC (6 épisodes),18,Elephant Story,Jérôme Cornuau,Arié Almaleh Chantal Lauby
NO SECOND CHANCE,1,VAB Production,François Velle,"Alexandra Lamy, Lionel Abelanski"
FAMILY ON THE GO,16,Les Films de la Bosse,Kong Shen,Huang Xiao et Yin Tao
"MARJORIE le Poids des Apparences » épisode 3 (1 épisode)",22,FRANCE TELEVISIONS,Ivan Calbérac,"Bruno Solo, Anne Charrier"
CONTACT « Pilote »,10,CARMA FILM,Frédéric BERTHE,Thomas Jouannet
IMPOSTURE,4,RENDEZ VOUS,"Laura Smet, Jacques Spiesse",Julien Despaux
MARSEILLLE saison 1 (8 épisodes),115,Fédération Entertmaint,"Florent Emilio Siri, Thomas,Gilou,Gérard Depardieu, Benoit Magimel"